b,d,A,Ix,Sx
7,6,42,126,42
7,7.5,52.5,246,65.6
7,9,63,425.2,94.6
7,9.25,64.75,461.6,99.8
7,9.5,66.5,500.2,105.2
7,10.5,73.5,675.2,128.6
7,11.25,78.75,830.6,147.6
7,11.875,83.125,976.8,164.6
7,12,84,1008,168
7,13.5,94.5,1435.2,212.6
7,14,98,1600.6,228.6
7,15,105,1968.8,262.6
7,16,112,2389.4,298.6
7,16.5,115.5,2620.4,317.6
7,18,126,3402,378
7,19.5,136.5,4325.4,443.6
7,20,140,4666.6,466.6
7,21,147,5402.2,514.6
7,22,154,6211.4,564.6
7,22.5,157.5,6644.6,590.6
7,24,168,8064,672
10.25,6,61.5,184.6,61.6
10.25,7.5,76.875,360.4,96
10.25,9,92.25,622.6,138.4
10.25,10.5,107.625,988.8,188.4
10.25,12,123,1476,246
10.25,13.5,138.375,2101.6,311.4
10.25,15,153.75,2882.8,384.4
10.25,16.5,169.125,3837,465
10.25,18,184.5,4981.6,553.6
10.25,19.5,199.875,6333.6,649.6
10.25,21,215.25,7910.4,753.4
10.25,22.5,230.625,9729.4,864.8
10.25,24,246,11808,984
10.25,25.5,261.375,14163.2,1110.8
10.25,27,276.75,16812.6,1245.4
10.25,28.5,292.125,19773.2,1387.6
10.25,30,307.5,23062.6,1537.6
10.25,31.5,322.875,26697.8,1695
10.25,33,338.25,30696.2,1860.4
10.25,34.5,353.625,35075.2,2033.4
10.25,36,369,39852,2214
11,6,66,198,66
11,7.5,82.5,386.8,103.2
11,9,99,668.2,148.6
11,9.25,101.75,725.4,156.8
11,9.5,104.5,786,165.4
11,10.5,115.5,1061.2,202.2
11,11.25,123.75,1305.2,232
11,11.875,130.625,1535,258.6
11,12,132,1584,264
11,13.5,148.5,2255.4,334.2
11,14,154,2515.4,359.4
11,15,165,3093.8,412.6
11,16,176,3754.6,469.4
11,16.5,181.5,4117.8,499.2
11,18,198,5346,594
11,19.5,214.5,6797,697.2
11,21,231,8489.2,808.6
11,22,242,9760.6,887.4
11,22.5,247.5,10441.4,928.2
11,24,264,12672,1056
11,25.5,280.5,15199.6,1192.2
11,27,297,18042.8,1336.6
11,28.5,313.5,21220,1489.2
11,30,330,24750,1650
11,31.5,346.5,28651.2,1819.2
11,33,363,32942.2,1996.6
11,34.5,379.5,37641.6,2182.2
11,36,396,42768,2376
13.5,7.5,101.25,474.6,126.6
13.5,9,121.5,820.2,182.2
13.5,10.5,141.75,1302.4,248
13.5,12,162,1944,324
13.5,13.5,182.25,2768,410
13.5,15,202.5,3796.8,506.2
13.5,16.5,222.75,5053.6,612.6
13.5,18,243,6561,729
13.5,19.5,263.25,8341.8,855.6
13.5,21,283.5,10418.6,992.2
13.5,22.5,303.75,12814.4,1139
13.5,24,324,15552,1296
13.5,25.5,344.25,18654,1463
13.5,27,364.5,22143.4,1640.2
13.5,28.5,384.75,26042.8,1827.6
13.5,30,405,30375,2025
13.5,31.5,425.25,35162.8,2232.6
13.5,33,445.5,40429.2,2450.2
13.5,34.5,465.75,46196.6,2678
13.5,36,486,52488,2916
13.5,37.5,506.25,59326.2,3164
13.5,39,526.5,66733.8,3422.2
13.5,40.5,546.75,74733.8,3690.6
13.5,42,567,83349,3969
13.5,43.5,587.25,92602,4257.6
13.5,45,607.5,102515.6,4556.2
13.5,46.5,627.75,113112.8,4865
13.5,48,648,124416,5184
13.5,49.5,668.25,136448.2,5513
13.5,51,688.5,149232.4,5852.2
13.5,52.5,708.75,162791,6201.6
13.5,54.5,735.75,182113.4,6683
13.5,55.5,749.25,192323.2,6930.6
13.5,57,769.5,208342.2,7310.2
13.5,58.5,789.75,225226.8,7700
13.5,60,810,243000,8100
17.5,9,157.5,1063.2,236.2
17.5,10.5,183.75,1688.2,321.6
17.5,12,210,2520,420
17.5,13.5,236.25,3588,531.6
17.5,15,262.5,4921.8,656.2
17.5,16.5,288.75,6551,794
17.5,18,315,8505,945
17.5,19.5,341.25,10813.4,1109
17.5,21,367.5,13505.6,1286.2
17.5,22.5,393.75,16611.4,1476.6
17.5,24,420,20160,1680
17.5,25.5,446.25,24181.2,1896.6
17.5,27,472.5,28704.4,2126.2
17.5,28.5,498.75,33759.2,2369
17.5,30,525,39375,2625
17.5,31.5,551.25,45581.4,2894
17.5,33,577.5,52408.2,3176.2
17.5,34.5,603.75,59884.4,3471.6
17.5,36,630,68040,3780
17.5,37.5,656.25,76904.2,4101.6
17.5,39,682.5,86506.8,4436.2
17.5,40.5,708.75,96877.2,4784
17.5,42,735,108045,5145
17.5,43.5,761.25,120039.6,5519
17.5,45,787.5,132890.6,5906.2
17.5,46.5,813.75,146627.6,6306.6
17.5,48,840,161280,6720
17.5,49.5,866.25,176877.4,7146.6
17.5,51,892.5,193449.4,7586.2
17.5,52.5,918.75,211025.4,8039
17.5,54,945,229635,8505
17.5,55.5,971.25,249307.8,8984
17.5,57,997.5,270073.2,9476.2
17.5,58.5,1023.75,291960.8,9981.6
17.5,60,1050,315000,10500
21.5,12,258,3096,516
21.5,13.5,290.25,4408.2,653
21.5,15,322.5,6046.8,806.2
21.5,16.5,354.75,8048.4,975.6
21.5,18,387,10449,1161
21.5,19.5,419.25,13285,1362.6
21.5,21,451.5,16592.6,1580.2
21.5,22.5,483.75,20408.2,1814
21.5,24,516,24768,2064
21.5,25.5,548.25,29708.2,2330
21.5,27,580.5,35265.4,2612.2
21.5,28.5,612.75,41475.6,2910.6
21.5,30,645,48375,3225
21.5,31.5,677.25,56000.2,3555.6
21.5,33,709.5,64387.2,3902.2
21.5,34.5,741.75,73572.4,4265
21.5,36,774,83592,4644
21.5,37.5,806.25,94482.4,5039
21.5,39,838.5,106279.8,5450.2
21.5,40.5,870.75,119020.6,5877.6
21.5,42,903,132741,6321
21.5,43.5,935.25,147477.2,6780.6
21.5,45,967.5,163265.6,7256.2
21.5,46.5,999.75,180142.4,7748
21.5,48,1032,198144,8256
21.5,49.5,1064.25,217306.6,8780
21.5,51,1096.5,237666.4,9320.2
21.5,52.5,1128.75,259259.8,9876.6
21.5,54,1161,282123,10449
21.5,55.5,1193.25,306292.4,11037.6
21.5,57,1225.5,331804.2,11642.2
21.5,58.5,1257.75,358694.6,12263
