b,d,A,Ix,Sx
3.5,6,21.0,63.0,21.0
3.5,7.5,26.3,123.0,32.8
3.5,9,31.5,212.6,47.3
3.5,9.25,32.4,230.8,49.9
3.5,9.5,33.3,250.1,52.6
3.5,10.5,36.8,337.6,64.3
3.5,11.25,39.4,415.3,73.8
3.5,11.875,41.6,488.4,82.3
3.5,12,42.0,504.0,84.0
3.5,13.5,47.3,717.6,106.3
3.5,14,49.0,800.3,114.3
3.5,15,52.5,984.4,131.3
3.5,16,56.0,1194.7,149.3
3.5,16.5,57.8,1310.2,158.8
3.5,18,63.0,1701.0,189.0
3.5,19.5,68.3,2162.7,221.8
3.5,20,70.0,2333.3,233.3
3.5,21,73.5,2701.1,257.3
3.5,22,77.0,3105.7,282.3
3.5,22.5,78.8,3322.3,295.3
3.5,24,84.0,4032.0,336.0
5.125,6,30.8,92.3,30.8
5.125,7.5,38.4,180.2,48.0
5.125,9,46.1,311.3,69.2
5.125,10.5,53.8,494.4,94.2
5.125,12,61.5,738.0,123.0
5.125,13.5,69.2,1050.8,155.7
5.125,15,76.9,1441.4,192.2
5.125,16.5,84.6,1918.5,232.5
5.125,18,92.3,2490.8,276.8
5.125,19.5,99.9,3166.8,324.8
5.125,21,107.6,3955.2,376.7
5.125,22.5,115.3,4864.7,432.4
5.125,24,123.0,5904.0,492.0
5.125,25.5,130.7,7081.6,555.4
5.125,27,138.4,8406.3,622.7
5.125,28.5,146.1,9886.6,693.8
5.125,30,153.8,11531.3,768.8
5.125,31.5,161.4,13348.9,847.5
5.125,33,169.1,15348.1,930.2
5.125,34.5,176.8,17537.6,1016.7
5.125,36,184.5,19926.0,1107.0
5.5,6,33.0,99.0,33.0
5.5,7.5,41.3,193.4,51.6
5.5,9,49.5,334.1,74.3
5.5,9.25,50.9,362.7,78.4
5.5,9.5,52.3,393.0,82.7
5.5,10.5,57.8,530.6,101.1
5.5,11.25,61.9,652.6,116.0
5.5,11.875,65.3,767.5,129.3
5.5,12,66.0,792.0,132.0
5.5,13.5,74.3,1127.7,167.1
5.5,14,77.0,1257.7,179.7
5.5,15,82.5,1546.9,206.3
5.5,16,88.0,1877.3,234.7
5.5,16.5,90.8,2058.9,249.6
5.5,18,99.0,2673.0,297.0
5.5,19.5,107.3,3398.5,348.6
5.5,21,115.5,4244.6,404.3
5.5,22,121.0,4880.3,443.7
5.5,22.5,123.8,5220.7,464.1
5.5,24,132.0,6336.0,528.0
5.5,25.5,140.3,7599.8,596.1
5.5,27,148.5,9021.4,668.3
5.5,28.5,156.8,10610.0,744.6
5.5,30,165.0,12375.0,825.0
5.5,31.5,173.3,14325.6,909.6
5.5,33,181.5,16471.1,998.3
5.5,34.5,189.8,18820.8,1091.1
5.5,36,198.0,21384.0,1188.0
6.75,7.5,50.6,237.3,63.3
6.75,9,60.8,410.1,91.1
6.75,10.5,70.9,651.2,124.0
6.75,12,81.0,972.0,162.0
